state,party
Alabama,republican
Alaska,republican
Arizona,republican
Arkansas,republican
California,democrat
Colorado,democrat
Connecticut,democrat
Delaware,democrat
Florida,republican
Georgia,republican
Hawaii,democrat
Idaho,republican
Illinois,democrat
Indiana,republican
Iowa,republican
Kansas,democrat
Kentucky,democrat
Louisiana,democrat
Maine,democrat
Maryland,republican
Massachusetts,republican
Michigan,democrat
Minnesota,democrat
Mississippi,republican
Missouri,republican
Montana,republican
Nebraska,republican
Nevada,democrat
New Hampshire,republican
New Jersey,democrat
New Mexico,democrat
New York,democrat
North Carolina,democrat
North Dakota,republican
Ohio,republican
Oklahoma,republican
Oregon,democrat
Pennsylvania,democrat
Rhode Island,democrat
South Carolina,republican
South Dakota,republican
Tennessee,republican
Texas,republican
Utah,republican
Vermont,republican
Virginia,democrat
Washington,democrat
West Virginia,democrat
Wisconsin,democrat
Wyoming,republican
